name,track_number,album_id,album_name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url
El Fantasma de Canterville (En Vivo),5,NA,NA,0QmhPQpdZzRqypsR7Ohndy,0.458,0.383,2,-14.122,1,0.0337,0.699,0,0.945,0.487,105.967,235000,4,spotify:track:0QmhPQpdZzRqypsR7Ohndy,https://api.spotify.com/v1/audio-analysis/0QmhPQpdZzRqypsR7Ohndy
Para Quién Canto Yo Entonces (En Vivo),6,NA,NA,06JrPz90c8VRM0YZlpDLrs,0.273,0.284,9,-18.286,1,0.0349,0.461,1.51e-4,0.866,0.21,82.692,221000,4,spotify:track:06JrPz90c8VRM0YZlpDLrs,https://api.spotify.com/v1/audio-analysis/06JrPz90c8VRM0YZlpDLrs
Cuando Ya Me Empiece a Quedar Solo,1,01SHGcb4X59QOezJ2MhqJx,Confesiones De Invierno,60tOZaaBTUXfiqxShmGEY1,0.342,0.0597,7,-15.857,0,0.0354,0.844,0,0.155,0.103,117.653,217960,4,spotify:track:60tOZaaBTUXfiqxShmGEY1,https://api.spotify.com/v1/audio-analysis/60tOZaaBTUXfiqxShmGEY1
Bienvenidos al Tren,2,NA,NA,1aXdFFTTUBMdcKsAX2q3vq,0.433,0.367,7,-14.091,1,0.0304,0.0466,3.77e-6,0.347,0.481,125.524,194333,3,spotify:track:1aXdFFTTUBMdcKsAX2q3vq,https://api.spotify.com/v1/audio-analysis/1aXdFFTTUBMdcKsAX2q3vq
"Un Hada, un Cisne",3,NA,NA,0DXNPAmAhQ872qL8AWkgsk,0.262,0.223,2,-14.643,1,0.032,0.143,0.00122,0.083,0.118,174.071,385840,3,spotify:track:0DXNPAmAhQ872qL8AWkgsk,https://api.spotify.com/v1/audio-analysis/0DXNPAmAhQ872qL8AWkgsk
Confesiones de Invierno,4,NA,NA,47im9FzRfqAS2KYvw3NhSw,0.476,0.148,2,-15.794,1,0.0313,0.791,0,0.0602,0.261,97.847,245333,4,spotify:track:47im9FzRfqAS2KYvw3NhSw,https://api.spotify.com/v1/audio-analysis/47im9FzRfqAS2KYvw3NhSw
Rasguña las Piedras,5,NA,NA,3lvAzKmRH8vzXQ4xm19v78,0.279,0.346,7,-12.609,1,0.0444,0.239,0,0.0798,0.309,162.506,191227,4,spotify:track:3lvAzKmRH8vzXQ4xm19v78,https://api.spotify.com/v1/audio-analysis/3lvAzKmRH8vzXQ4xm19v78
Lunes Otra Vez,6,NA,NA,7DCumXCLeMSqX8cnMA6ud2,0.617,0.44,7,-12.251,1,0.0386,0.059,0,0.184,0.768,122.879,190200,4,spotify:track:7DCumXCLeMSqX8cnMA6ud2,https://api.spotify.com/v1/audio-analysis/7DCumXCLeMSqX8cnMA6ud2
Aprendizaje,7,NA,NA,1ER1laT8sGa3uSifgRaL5u,0.407,0.151,7,-17.235,1,0.034,0.557,3.98e-5,0.119,0.138,117.497,225400,4,spotify:track:1ER1laT8sGa3uSifgRaL5u,https://api.spotify.com/v1/audio-analysis/1ER1laT8sGa3uSifgRaL5u
Mr. Jones o Pequeña Semblanza de una Familia Tipo Americana,8,NA,NA,7s8fyaidK2GOeM40SitjhO,0.528,0.717,1,-10.335,0,0.0532,0.113,0.00279,0.2,0.925,139.05,104373,4,spotify:track:7s8fyaidK2GOeM40SitjhO,https://api.spotify.com/v1/audio-analysis/7s8fyaidK2GOeM40SitjhO
"Tribulaciones, Lamento y Ocaso de un Tonto Rey Imaginario o No",9,NA,NA,4gyCJBCr4RY1VVe6sSDmyH,0.327,0.164,3,-15.471,0,0.0337,0.722,0,0.124,0.125,122.875,358973,4,spotify:track:4gyCJBCr4RY1VVe6sSDmyH,https://api.spotify.com/v1/audio-analysis/4gyCJBCr4RY1VVe6sSDmyH
Alto en la Torre,10,NA,NA,28sGklsX9Awf4FYqYZNgQN,0.277,0.242,2,-11.911,1,0.0302,0.914,0.017,0.147,0.123,81.498,281440,4,spotify:track:28sGklsX9Awf4FYqYZNgQN,https://api.spotify.com/v1/audio-analysis/28sGklsX9Awf4FYqYZNgQN
Canción para Mi Muerte,1,0EdYPXNaKi8QOBwq1C13jM,Vida,0t0Kl5jxxV3s8bdpILkgmd,0.457,0.277,0,-18.023,1,0.034,0.649,3.66e-6,0.101,0.482,130.833,215907,4,spotify:track:0t0Kl5jxxV3s8bdpILkgmd,https://api.spotify.com/v1/audio-analysis/0t0Kl5jxxV3s8bdpILkgmd
Necesito,2,NA,NA,7H62s62eUQqYXTA3WsrTK7,0.64,0.169,7,-18.195,1,0.0461,0.461,0,0.124,0.199,101.86,133960,4,spotify:track:7H62s62eUQqYXTA3WsrTK7,https://api.spotify.com/v1/audio-analysis/7H62s62eUQqYXTA3WsrTK7
